,Date:,4/5/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Start Time:,11:52:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Unix Start Time:,1649173941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Duration:,8080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Num Players:,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Num Periods:,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Num Parameters:,438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Logo Path:,https://clprototype.s3.amazonaws.com/9f47f75697cef66b03533f600be2b916dd09b3de.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAWE24RTRBE46FX3JB%2F20220614%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20220614T135615Z&X-Amz-SignedHeaders=host&X-Amz-Expires=-1654610175&X-Amz-Signature=e1538d7b81326312983456f6129304263bc572ffc7260400e281c5852b87235d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unique ID,Player Name,Period Name,Period Number,Date,Position,Start Time,End Time,Unix Start Time,Unix End Time,Duration,Field Time,Bench Time,Odometer,Player Load,Player Load (2d),Player Load (slow),Player Load (1d Fwd),Player Load (1d Side),Player Load (1d Up),Player Load (1d Fwd) %,Player Load (1d Side) %,Player Load (1d Up) %,Player Load / Min,Player Load / Metre,Meterage / Min,Max Hr,Min Hr,Mean Hr,Max Velocity,Exertion Index,E.i. Per Min,Hr Exertion Index,Hr E.i. Per Min,Hr E.i. Per Metre,High Intensity Running %,High Intensity Accels,High Intensity Decels,Player Load High Efforts,Odometer Zones 2+,Rest Time,Work:rest Ratio,Peak Player Load,Vel Zone 1 Dist,Vel Zone 2 Dist,Vel Zone 3 Dist,Vel Zone 4 Dist,Vel Zone 5 Dist,Vel Zone 6 Dist,Vel Zone 7 Dist,Vel Zone 8 Dist,Vel Zone 1 Dist %,Vel Zone 2 Dist %,Vel Zone 3 Dist %,Vel Zone 4 Dist %,Vel Zone 5 Dist %,Vel Zone 6 Dist %,Vel Zone 7 Dist %,Vel Zone 8 Dist %,Vel Zone 1 Time,Vel Zone 2 Time,Vel Zone 3 Time,Vel Zone 4 Time,Vel Zone 5 Time,Vel Zone 6 Time,Vel Zone 7 Time,Vel Zone 8 Time,Vel Zone 1 Time %,Vel Zone 2 Time %,Vel Zone 3 Time %,Vel Zone 4 Time %,Vel Zone 5 Time %,Vel Zone 6 Time %,Vel Zone 7 Time %,Vel Zone 8 Time %,Vel Zone 1 Efforts,Vel Zone 2 Efforts,Vel Zone 3 Efforts,Vel Zone 4 Efforts,Vel Zone 5 Efforts,Vel Zone 6 Efforts,Vel Zone 7 Efforts,Vel Zone 8 Efforts,Vel Zone 1 Avg Effort Dist,Vel Zone 2 Avg Effort Dist,Vel Zone 3 Avg Effort Dist,Vel Zone 4 Avg Effort Dist,Vel Zone 5 Avg Effort Dist,Vel Zone 6 Avg Effort Dist,Vel Zone 7 Avg Effort Dist,Vel Zone 8 Avg Effort Dist,Vel Zone 1 Avg Effort Time,Vel Zone 2 Avg Effort Time,Vel Zone 3 Avg Effort Time,Vel Zone 4 Avg Effort Time,Vel Zone 5 Avg Effort Time,Vel Zone 6 Avg Effort Time,Vel Zone 7 Avg Effort Time,Vel Zone 8 Avg Effort Time,Vel Zone 1 Min Effort Dist,Vel Zone 2 Min Effort Dist,Vel Zone 3 Min Effort Dist,Vel Zone 4 Min Effort Dist,Vel Zone 5 Min Effort Dist,Vel Zone 6 Min Effort Dist,Vel Zone 7 Min Effort Dist,Vel Zone 8 Min Effort Dist,Vel Zone 1 Min Effort Time,Vel Zone 2 Min Effort Time,Vel Zone 3 Min Effort Time,Vel Zone 4 Min Effort Time,Vel Zone 5 Min Effort Time,Vel Zone 6 Min Effort Time,Vel Zone 7 Min Effort Time,Vel Zone 8 Min Effort Time,Vel Zone 1 Max Effort Dist,Vel Zone 2 Max Effort Dist,Vel Zone 3 Max Effort Dist,Vel Zone 4 Max Effort Dist,Vel Zone 5 Max Effort Dist,Vel Zone 6 Max Effort Dist,Vel Zone 7 Max Effort Dist,Vel Zone 8 Max Effort Dist,Vel Zone 1 Max Effort Time,Vel Zone 2 Max Effort Time,Vel Zone 3 Max Effort Time,Vel Zone 4 Max Effort Time,Vel Zone 5 Max Effort Time,Vel Zone 6 Max Effort Time,Vel Zone 7 Max Effort Time,Vel Zone 8 Max Effort Time,Vel Zone 1 Efforts 0-5m,Vel Zone 2 Efforts 0-5m,Vel Zone 3 Efforts 0-5m,Vel Zone 4 Efforts 0-5m,Vel Zone 5 Efforts 0-5m,Vel Zone 6 Efforts 0-5m,Vel Zone 7 Efforts 0-5m,Vel Zone 8 Efforts 0-5m,Vel Zone 1 Efforts 5-10m,Vel Zone 2 Efforts 5-10m,Vel Zone 3 Efforts 5-10m,Vel Zone 4 Efforts 5-10m,Vel Zone 5 Efforts 5-10m,Vel Zone 6 Efforts 5-10m,Vel Zone 7 Efforts 5-10m,Vel Zone 8 Efforts 5-10m,Vel Zone 1 Efforts 10-40m,Vel Zone 2 Efforts 10-40m,Vel Zone 3 Efforts 10-40m,Vel Zone 4 Efforts 10-40m,Vel Zone 5 Efforts 10-40m,Vel Zone 6 Efforts 10-40m,Vel Zone 7 Efforts 10-40m,Vel Zone 8 Efforts 10-40m,Vel Zone 1 Efforts 40m+,Vel Zone 2 Efforts 40m+,Vel Zone 3 Efforts 40m+,Vel Zone 4 Efforts 40m+,Vel Zone 5 Efforts 40m+,Vel Zone 6 Efforts 40m+,Vel Zone 7 Efforts 40m+,Vel Zone 8 Efforts 40m+,Start Accel Vel Zone 1 (0-1 M/s^2),Start Accel Vel Zone 2 (0-1 M/s^2),Start Accel Vel Zone 3 (0-1 M/s^2),Start Accel Vel Zone 4 (0-1 M/s^2),Start Accel Vel Zone 5 (0-1 M/s^2),Start Accel Vel Zone 6 (0-1 M/s^2),Start Accel Vel Zone 7 (0-1 M/s^2),Start Accel Vel Zone 8 (0-1 M/s^2),Start Accel Vel Zone 1 (1-2 M/s^2),Start Accel Vel Zone 2 (1-2 M/s^2),Start Accel Vel Zone 3 (1-2 M/s^2),Start Accel Vel Zone 4 (1-2 M/s^2),Start Accel Vel Zone 5 (1-2 M/s^2),Start Accel Vel Zone 6 (1-2 M/s^2),Start Accel Vel Zone 7 (1-2 M/s^2),Start Accel Vel Zone 8 (1-2 M/s^2),Start Accel Vel Zone 1 (2-4 M/s^2),Start Accel Vel Zone 2 (2-4 M/s^2),Start Accel Vel Zone 3 (2-4 M/s^2),Start Accel Vel Zone 4 (2-4 M/s^2),Start Accel Vel Zone 5 (2-4 M/s^2),Start Accel Vel Zone 6 (2-4 M/s^2),Start Accel Vel Zone 7 (2-4 M/s^2),Start Accel Vel Zone 8 (2-4 M/s^2),Start Accel Vel Zone 1 (4+ M/s^2),Start Accel Vel Zone 2 (4+ M/s^2),Start Accel Vel Zone 3 (4+ M/s^2),Start Accel Vel Zone 4 (4+ M/s^2),Start Accel Vel Zone 5 (4+ M/s^2),Start Accel Vel Zone 6 (4+ M/s^2),Start Accel Vel Zone 7 (4+ M/s^2),Start Accel Vel Zone 8 (4+ M/s^2),Rec Time Vel Zone 1 (0-0.5 Min),Rec Time Vel Zone 2 (0-0.5 Min),Rec Time Vel Zone 3 (0-0.5 Min),Rec Time Vel Zone 4 (0-0.5 Min),Rec Time Vel Zone 5 (0-0.5 Min),Rec Time Vel Zone 6 (0-0.5 Min),Rec Time Vel Zone 7 (0-0.5 Min),Rec Time Vel Zone 8 (0-0.5 Min),Rec Time Vel Zone 1 (0.5-1 Min),Rec Time Vel Zone 2 (0.5-1 Min),Rec Time Vel Zone 3 (0.5-1 Min),Rec Time Vel Zone 4 (0.5-1 Min),Rec Time Vel Zone 5 (0.5-1 Min),Rec Time Vel Zone 6 (0.5-1 Min),Rec Time Vel Zone 7 (0.5-1 Min),Rec Time Vel Zone 8 (0.5-1 Min),Rec Time Vel Zone 1 (1-2 Min),Rec Time Vel Zone 2 (1-2 Min),Rec Time Vel Zone 3 (1-2 Min),Rec Time Vel Zone 4 (1-2 Min),Rec Time Vel Zone 5 (1-2 Min),Rec Time Vel Zone 6 (1-2 Min),Rec Time Vel Zone 7 (1-2 Min),Rec Time Vel Zone 8 (1-2 Min),Rec Time Vel Zone 1 (2-5 Min),Rec Time Vel Zone 2 (2-5 Min),Rec Time Vel Zone 3 (2-5 Min),Rec Time Vel Zone 4 (2-5 Min),Rec Time Vel Zone 5 (2-5 Min),Rec Time Vel Zone 6 (2-5 Min),Rec Time Vel Zone 7 (2-5 Min),Rec Time Vel Zone 8 (2-5 Min),Rec Time Vel Zone 1 (5+ Min),Rec Time Vel Zone 2 (5+ Min),Rec Time Vel Zone 3 (5+ Min),Rec Time Vel Zone 4 (5+ Min),Rec Time Vel Zone 5 (5+ Min),Rec Time Vel Zone 6 (5+ Min),Rec Time Vel Zone 7 (5+ Min),Rec Time Vel Zone 8 (5+ Min),Acc. Zone 1 Efforts,Acc. Zone 2 Efforts,Acc. Zone 3 Efforts,Acc. Zone 4 Efforts,Acc. Zone 5 Efforts,Acc. Zone 6 Efforts,Acc. Zone 7 Efforts,Acc. Zone 8 Efforts,Acc. Zone 1 Dist,Acc. Zone 2 Dist,Acc. Zone 3 Dist,Acc. Zone 4 Dist,Acc. Zone 5 Dist,Acc. Zone 6 Dist,Acc. Zone 7 Dist,Acc. Zone 8 Dist,Acc. Zone 1 Dist %,Acc. Zone 2 Dist %,Acc. Zone 3 Dist %,Acc. Zone 4 Dist %,Acc. Zone 5 Dist %,Acc. Zone 6 Dist %,Acc. Zone 7 Dist %,Acc. Zone 8 Dist %,Acc. Zone 1 Time,Acc. Zone 2 Time,Acc. Zone 3 Time,Acc. Zone 4 Time,Acc. Zone 5 Time,Acc. Zone 6 Time,Acc. Zone 7 Time,Acc. Zone 8 Time,Acc. Zone 1 Time %,Acc. Zone 2 Time %,Acc. Zone 3 Time %,Acc. Zone 4 Time %,Acc. Zone 5 Time %,Acc. Zone 6 Time %,Acc. Zone 7 Time %,Acc. Zone 8 Time %,Hr Zone 1 Time,Hr Zone 2 Time,Hr Zone 3 Time,Hr Zone 4 Time,Hr Zone 5 Time,Hr Zone 6 Time,Hr Zone 7 Time,Hr Zone 8 Time,Hr Zone 1 Time %,Hr Zone 2 Time %,Hr Zone 3 Time %,Hr Zone 4 Time %,Hr Zone 5 Time %,Hr Zone 6 Time %,Hr Zone 7 Time %,Hr Zone 8 Time %,P.l. Zone 1,P.l. Zone 2,P.l. Zone 3,P.l. Zone 4,P.l. Zone 5,P.l. Zone 6,P.l. Zone 7,P.l. Zone 8,P.l. Zone 1 Time,P.l. Zone 2 Time,P.l. Zone 3 Time,P.l. Zone 4 Time,P.l. Zone 5 Time,P.l. Zone 6 Time,P.l. Zone 7 Time,P.l. Zone 8 Time,P.l. Zone 1 Time %,P.l. Zone 2 Time %,P.l. Zone 3 Time %,P.l. Zone 4 Time %,P.l. Zone 5 Time %,P.l. Zone 6 Time %,P.l. Zone 7 Time %,P.l. Zone 8 Time %,Tackle Zone 1 Count,Tackle Zone 2 Count,Tackle Zone 3 Count,Tackle Zone 4 Count,Tackle Zone 5 Count,Tackle Zone 6 Count,Tackle Zone 7 Count,Tackle Zone 8 Count,Tackle Zone 1 Avg Time,Tackle Zone 2 Avg Time,Tackle Zone 3 Avg Time,Tackle Zone 4 Avg Time,Tackle Zone 5 Avg Time,Tackle Zone 6 Avg Time,Tackle Zone 7 Avg Time,Tackle Zone 8 Avg Time,Rhie Total Bouts,Rhie Efforts Per Bout - Min,Rhie Efforts Per Bout - Mean,Rhie Efforts Per Bout - Max,Rhie Effort Duration - Min,Rhie Effort Duration - Mean,Rhie Effort Duration - Max,Rhie Effort Recovery - Min,Rhie Effort Recovery - Mean,Rhie Effort Recovery - Max,Rhie Bout Recovery - Min,Rhie Bout Recovery - Mean,Rhie Bout Recovery - Max,Ima Accel Low,Ima Accel Med,Ima Accel High,Ima Decel Low,Ima Decel Med,Ima Decel High,Ima Cod Left Low,Ima Cod Left Med,Ima Cod Left High,Ima Cod Right Low,Ima Cod Right Med,Ima Cod Right High,Ima Free Running Total Event Count,Ima Free Running Total Time,Ima Free Running Total Time %,Ima Free Running Mean Stride Rate,Ima Free Running Band 0-2.5 Event Count,Ima Free Running Band 0-2.5 Avg Stride Rate,Ima Free Running Band 2.5-5 Event Count,Ima Free Running Band 2.5-5 Avg Stride Rate,Ima Free Running Band 5+ Event Count,Ima Free Running Band 5+ Avg Stride Rate,Ima Jump Count Low Band,Ima Jump Count Med Band,Ima Jump Count High Band,Ima Events 1 O'clock Low,Ima Events 2 O'clock Low,Ima Events 3 O'clock Low,Ima Events 4 O'clock Low,Ima Events 5 O'clock Low,Ima Events 6 O'clock Low,Ima Events 7 O'clock Low,Ima Events 8 O'clock Low,Ima Events 9 O'clock Low,Ima Events 10 O'clock Low,Ima Events 11 O'clock Low,Ima Events 12 O'clock Low,Ima Events 1 O'clock Med,Ima Events 2 O'clock Med,Ima Events 3 O'clock Med,Ima Events 4 O'clock Med,Ima Events 5 O'clock Med,Ima Events 6 O'clock Med,Ima Events 7 O'clock Med,Ima Events 8 O'clock Med,Ima Events 9 O'clock Med,Ima Events 10 O'clock Med,Ima Events 11 O'clock Med,Ima Events 12 O'clock Med,Ima Events 1 O'clock High,Ima Events 2 O'clock High,Ima Events 3 O'clock High,Ima Events 4 O'clock High,Ima Events 5 O'clock High,Ima Events 6 O'clock High,Ima Events 7 O'clock High,Ima Events 8 O'clock High,Ima Events 9 O'clock High,Ima Events 10 O'clock High,Ima Events 11 O'clock High,Ima Events 12 O'clock High,Peak Meta. Power (w/kg),Meta. Energy (kj/kg),Meta. Energy (cal/kg),Estimated Dist,Edi,Meta. Power Zone 1 Time,Meta. Power Zone 2 Time,Meta. Power Zone 3 Time,Meta. Power Zone 4 Time,Meta. Power Zone 5 Time,Meta. Power Zone 6 Time,Meta. Power Zone 7 Time,Meta. Power Zone 8 Time,Meta. Power Zone 1 Time %,Meta. Power Zone 2 Time %,Meta. Power Zone 3 Time %,Meta. Power Zone 4 Time %,Meta. Power Zone 5 Time %,Meta. Power Zone 6 Time %,Meta. Power Zone 7 Time %,Meta. Power Zone 8 Time %,Meta. Power Zone 1 Efforts,Meta. Power Zone 2 Efforts,Meta. Power Zone 3 Efforts,Meta. Power Zone 4 Efforts,Meta. Power Zone 5 Efforts,Meta. Power Zone 6 Efforts,Meta. Power Zone 7 Efforts,Meta. Power Zone 8 Efforts,Meta. Power Zone 1 Avg Power,Meta. Power Zone 2 Avg Power,Meta. Power Zone 3 Avg Power,Meta. Power Zone 4 Avg Power,Meta. Power Zone 5 Avg Power,Meta. Power Zone 6 Avg Power,Meta. Power Zone 7 Avg Power,Meta. Power Zone 8 Avg Power
